Gene and Linked Enh,,,Functional annotation,,,,,,,,,,,,,,,,,,,,Astrocyte DE of enhancer genes in disease,,,,,,,ROSMAP DE,,,,,,,
Gene,LinkedEnh,Hit,AstAgeing_CombinedStudies,AstAgeing_Krawczyk2022,AstAgeing_Palmer2021,AstMarkers_Adult_Morabito2021,AstMarkers_AllAges_Herring2022,AstMarkers_CombinedStudies,AstMarkers_Foetal_Zhong2018,AstMarkers_Subtypes_Sadick2022,AstMaturation_CombinedStudies,AstMaturation_Herring2022,AstMaturation_Krawczyk2022,AstMaturation_Zhang2016,Housekeeping_CombinedStudies,Housekeeping_Eisenberg2013,Housekeeping_Lin2019,AstActivation_CombinedStudies,AstActivation_Leng2022_ProtocolKrencik,AstActivation_Leng2022_ProtocolLeng,AstActivation_Leng2022_ProtocolLi,AstActivation_Leng2022_ProtocolTCW,AD_Morabito2021,AD_Sadick2022,ASD_Gandal2022,Epilepsy_Zhang2016,GBM_Zhang2016,MS_Jakel2019,Peritumour_Krawczyk2022,cluster_id,logFC,logCPM,F,p_val,p_adj.loc,p_adj.glb,variable
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1124627078,8.101865991,9.574741795,2.1821341744573302E-3,4.7787029575881497E-2,4.7787029575881497E-2,plaq_d_trio_second_vs_first
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-1.448861471,8.093377239,24.17216816,1.32143451493213e-06,8.4688095192970601E-4,8.4688095192970601E-4,cognps_random_slope
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-1.119136005,8.091330457,25.74462772,6.11013784683016e-07,9.00819536706189e-05,9.00819536706189e-05,cognep_random_slope
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.08005967873,8.094055005,25.33715669,7.30646260403811e-07,1.5965090640291299E-4,1.5965090640291299E-4,cogn_ep_lv
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1232286853,8.094054187,24.6787774,1.00742613849585e-06,2.9460803657394902E-4,2.9460803657394902E-4,nft
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-1.156255713,8.091765193,26.11041485,5.1112688810982e-07,1.0377816816811999E-4,1.0377816816811999E-4,cogng_random_slope
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.2258261783,8.136141931,45.89555171,8.37244813600286e-11,5.22943110574739e-08,5.22943110574739e-08,gpath_trio_third_vs_second
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,-0.08083874364,8.097352984,19.42341958,1.3501500934151e-05,6.1638018443862198E-3,6.1638018443862198E-3,cogn_ps_lv
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1712658635,8.094055199,30.89195388,5.00604303960408e-08,4.47317756938844e-05,4.47317756938844e-05,gpath
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1563747046,8.132839843,21.29941095,6.17991347883081e-06,9.0001487608056495E-4,9.0001487608056495E-4,amyloid_trio_third_vs_second
RHOC,Enh2,TRUE,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ast,0.3072946397,4.214087793,12.94097063,3.6204897852013901E-4,3.8060103075280502E-2,3.8060103075280502E-2,ci_num2_mtt
RHOC,Enh2,TRUE,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ast,0.1402117687,4.219815037,8.617411565,3.6291210288788701E-3,2.83627251581299E-2,2.83627251581299E-2,gpath_trio_third_vs_second
RHOC,Enh2,TRUE,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ast,0.2117789998,4.198446195,12.46862019,5.1808558581702298E-4,1.51335436339719E-2,1.51335436339719E-2,gpath_progression
RHOC,Enh2,TRUE,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ast,0.09243841604,4.185623392,9.336723191,2.4002928998866401E-3,1.3541058621487599E-2,1.3541058621487599E-2,RUVr_results
RHOC,Enh2,TRUE,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ast,0.1539590396,4.239691902,9.171186159,2.7068807259556199E-3,2.1639612910300799E-2,2.1639612910300799E-2,nft_trio_third_vs_second
LDHA,Enh200/Enh199,TRUE,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,1,0,1,Ast,-0.2068231932,4.405645338,9.349258649,2.4591684676023599E-3,2.5554873041922201E-2,2.5554873041922201E-2,gpath_trio_second_vs_first
LDHA,Enh200/Enh199,TRUE,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,1,0,1,Ast,-0.254950482,4.324520818,11.57037921,8.1622376712507303E-4,1.6729447903882699E-2,1.6729447903882699E-2,gpath_progression
LDHA,Enh200/Enh199,TRUE,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,1,0,1,Ast,0.3002377862,4.347093205,13.57486241,2.9802457439333398E-4,1.0866703554111901E-2,1.0866703554111901E-2,gpath_progression
MDK,Enh206,TRUE,0,0,0,0,1,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ast,-0.3568347892,3.125323526,8.09633068,5.0466354534283503E-3,3.77378421872046E-2,3.77378421872046E-2,group_fourth_vs_third
BEST1,Enh210/Enh211,TRUE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,-0.3043280774,9.430076063,13.54031348,2.8245097074751997E-4,3.8221619006921399E-3,3.8221619006921399E-3,amyloid_trio_second_vs_first
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,1.494508876,9.33586931,8.175757738,4.4796010933291401E-3,3.7511688319909198E-2,3.7511688319909198E-2,cognep_random_slope
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,-0.3706582273,9.193383601,14.42071718,2.10693771973597E-4,3.8617850006962299E-3,3.8617850006962299E-3,group_fourth_vs_third
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,-0.2085651271,9.329588516,22.26853227,3.30771497835403e-06,6.80322017900131e-05,6.80322017900131e-05,RUVr_results
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,1.518040175,9.334509607,8.256309155,4.2885910257304998E-3,4.3189549909591701E-2,4.3189549909591701E-2,cogng_random_slope
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,1.395323562,9.32694291,9.52171295,2.1809647298023501E-3,4.6004112033361799E-2,4.6004112033361799E-2,cognse_random_slope
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,-0.2498947504,9.413263012,10.89267727,1.0980061178165201E-3,1.43650745137543E-2,1.43650745137543E-2,gpath_trio_second_vs_first
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,0.1409012817,9.339279322,10.5267736,1.2759950666165101E-3,2.29308431859888E-2,2.29308431859888E-2,cogn_global_lv
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,-0.5565949069,9.37113618,37.56900217,4.53979284485013e-09,2.26766871793431e-07,2.26766871793431e-07,group_fourth_vs_first
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,-0.2096749765,9.221742378,9.096489504,2.81368686643288E-3,4.5387997976556703E-2,4.5387997976556703E-2,plaq_n_trio_third_vs_second
FTH1,Enh210/Enh211,TRUE,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,4,1,1,1,1,-1,-1,0,0,0,0,0,Ast,0.1212319995,9.339275588,9.972256418,1.71034659313033E-3,2.71733147552435E-2,2.71733147552435E-2,cogn_ep_lv
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,0.1100745211,7.071299055,12.42653075,4.7251221465152601E-4,1.5207237879718E-2,1.5207237879718E-2,plaq_n
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,-0.1044726114,7.071298992,18.84196624,1.80333588303023e-05,1.4218065854244299E-3,1.4218065854244299E-3,cogn_global_lv
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,0.1422648999,7.071299099,11.87602693,6.2917684463166599E-4,1.70652282783402E-2,1.70652282783402E-2,gpath
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,0.1823296395,7.111465998,17.35091899,4.23683299026169e-05,1.0035516687387999E-3,1.0035516687387999E-3,nft_trio_third_vs_second
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,0.2239523444,7.07260368,20.33665438,9.73646508244231e-06,2.91200891816821E-4,2.91200891816821E-4,amyloid_trio_second_vs_first
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,-0.08032993764,7.071299119,14.4851542,1.63504006367001E-4,5.8964090547238704E-3,5.8964090547238704E-3,cogn_ep_lv
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,0.1269130953,7.069439006,18.36174095,2.30351124848884e-05,3.29092740470591E-4,3.29092740470591E-4,RUVr_results
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,-0.08527433279,7.070472838,12.81029659,3.8748292651911498E-4,3.4283338653665098E-2,3.4283338653665098E-2,cogn_ps_lv
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,-1.060902198,7.074708477,18.65874188,2.00315018936409e-05,2.9718958781648902E-3,2.9718958781648902E-3,cognse_random_slope
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,-0.09861978532,7.071298553,14.30290729,1.7950872395209E-4,1.7822335284231001E-2,1.7822335284231001E-2,cogn_wo_lv
AHNAK,Enh213,TRUE,1,0,1,1,1,2,0,1,1,1,1,-1,0,0,0,-2,0,-1,0,-1,0,1,1,0,0,0,-1,Ast,0.1102192911,7.071299203,11.31100632,8.4519065560205995E-4,1.7839956042918E-2,1.7839956042918E-2,nft
